indicator_group,epa_short_name,in_2013_2014,2013_2014_dataset_s,2013_2014_epa_definition_s,in_2018_2019,2018_2019_dataset_s,2018_2019_epa_definition_s,in_2023_2024,2023_2024_dataset_s,2023_2024_epa_definition_s,cycle_presence,definition_comparison
Site Information,SO,Yes,NRSA 1314 Site Information,NHD-Plus new Strahler order,No,,,No,,,2013–2014 only,Not comparable across cycles
Site Information,SORT13_ID,Yes,NRSA 1314 Site Information,Design sort ID of site for NRSA 2013-14 survey,No,,,No,,,2013–2014 only,Not comparable across cycles
Site Information,SORT18_ID,Yes,NRSA 1314 Site Information,Design sort ID of site for NRSA 2018-19 survey,No,,,No,,,2013–2014 only,Not comparable across cycles
Site Information,SOURCE,Yes,NRSA 1314 Site Information,Sample frame source,Yes,NRSA 1819 Site Information,"Sample frame source | Sample frame source for PROB sites and NONE for HAND sites. State frame names if used . No missing or \blank\"" values allowed.""",No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Site Information,STATE,Yes,NRSA 1314 Site Information,State of site,No,,,No,,,2013–2014 only,Not comparable across cycles
Site Information,STATE_NM,No,,,Yes,NRSA 1819 Site Information,"State to which stream reach is assigned for sampling in NRSA. No missing or \blank\"" values allowed.""",Yes,NRSA 2324 Site Information,"State to which stream reach is assigned for sampling in NRSA. No missing or \blank\"" values allowed.""",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Site Information,STATE_SF,No,,,Yes,NRSA 1819 Site Information,"Include or exclude stream reach in state sample frame. No missing or \blank\"" values allowed.""",No,,,2018–2019 only,Not comparable across cycles
Site Information,STATECTY,Yes,NRSA 1314 Site Information,FIPS state and county code,Yes,NRSA 1819 Site Information,"FIPS state and county code | FIPS state and county code. Text with leading \F\"" before code. No missing or \""blank\"" values allowed.""",Yes,NRSA 2324 Site Information,FIPS state and county code,All three cycles,Same/equivalent EPA label across available cycles
Site Information,STATEID,Yes,NRSA 1314 Site Information,State Site ID,No,,,No,,,2013–2014 only,Not comparable across cycles
Site Information,STRAH_CAL,Yes,NRSA 1314 Site Information,Strahler calculator from NHDPlusv2. Used to identify braided reaches.,Yes,NRSA 1819 Site Information,"Strahler calculator from NHDPlusv2. Used to identify braided reaches. | Strahler calculator from NHDPlusv2. Used to identify braided reaches. Values of 0 to 10. No missing or \blank\"" values allowed.""",Yes,NRSA 2324 Site Information,Strahler calculator from NHDPlusv2. Used to identify braided reaches.,All three cycles,Same/equivalent EPA label across available cycles
Site Information,STRAH_CAT,Yes,NRSA 1314 Site Information,Strahler category used to classify reaches. RiversMajor (5th and higher) RiversOther (5th and higher) LargeStreams (3rd and 4th) SmallStreams (1st and 2nd),Yes,NRSA 1819 Site Information,"Strahler category used to classify reaches. RiversMajor (5th and higher) RiversOther (5th and higher) LargeStreams (3rd and 4th) SmallStreams (1st and 2nd) | Strahler category used to classify reaches. SmallStreams – 1st and 2nd order; LargeStreams – 3rd and 4th order; MajorRivers – 5th order and higher that are identified as MajorRiver/Additional in MAJ_RIVER variable; and OtherRivers – 5th and higher that are not MajorRivers. No missing or \blank\"" values allowed.""",Yes,NRSA 2324 Site Information,Strahler category used to classify reaches. RiversMajor (5th and higher) RiversOther (5th and higher) LargeStreams (3rd and 4th) SmallStreams (1st and 2nd),All three cycles,Same/equivalent EPA label across available cycles
Site Information,STRAH_ORD,Yes,NRSA 1314 Site Information,Strahler order from NHDPlusv2,Yes,NRSA 1819 Site Information,"Strahler order from NHDPlusv2 | Strahler order from NHDPlusv2. Values from 0 to 10. No missing or \blank\"" values allowed.""",Yes,NRSA 2324 Site Information,Strahler order from NHDPlusv2,All three cycles,Same/equivalent EPA label across available cycles
Site Information,STRATUM,No,,,Yes,NRSA 1819 Site Information,"Stratum use for survey design (national assessment). Needed for population estimates. For value definitions, see survey-specific design documentation. | Strata used in the NRSA survey design. . Hand-picked sites assigned value of \None\"". No missing or \""blank\"" values alllowed.""",Yes,NRSA 2324 Site Information,"Stratum use for survey design (national assessment). Needed for population estimates. For value definitions, see survey-specific design documentation.",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Site Information,STUDY,Yes,NRSA 1314 Site Information,Study to which site belongs,No,,,Yes,NRSA 2324 Site Information,Study to which site belongs,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Site Information,TNT_CAT,No,,,Yes,NRSA 1819 Site Information,"NRSA target status assigned based on stream site evaluation. For population estimation must combine with SITETYPE to restrict to probability survey sites. No missing or \blank\"" values allowed.""",No,,,2018–2019 only,Not comparable across cycles
Site Information,UID,Yes,NRSA 1314 Site Information,Unique site visit ID,Yes,NRSA 1819 Site Information,Unique site visit ID,Yes,NRSA 2324 Site Information,Unique site visit ID,All three cycles,Same/equivalent EPA label across available cycles
Site Information,UNIQUE_ID,No,,,Yes,NRSA 1819 Site Information,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,Yes,NRSA 2324 Site Information,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Site Information,URBN_NRS08,No,,,Yes,NRSA 1819 Site Information,"Stream identified as an urban stream based on urban definition used in NRSA 2008-9 design. Urban based on 2000 Census polygons of urban areas and 3km buffer to ensure census waters included. No missing or \blank\"" values allowed.""",Yes,NRSA 2324 Site Information,"Stream identified as an urban stream based on urban definition used in NRSA 2008-9 design. Urban based on 2000 Census polygons of urban areas and 3km buffer to ensure census waters included. No missing or \blank\"" values allowed.""",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Site Information,URBN_NRS18,No,,,Yes,NRSA 1819 Site Information,"Stream identified as an urban stream based on urban definition used in NRSA 2018-19 design. Urban based on 2010 Census polygons of urban areas. No 3km buffer to ensure census waters included since census polygons now include census waters. No missing or \blank\"" values allowed.""",Yes,NRSA 2324 Site Information,"Stream identified as an urban stream based on urban definition used in NRSA 2018-19 design. Urban based on 2010 Census polygons of urban areas. No 3km buffer to ensure census waters included since census polygons now include census waters. No missing or \blank\"" values allowed.""",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Site Information,URBN_NRS23,No,,,No,,,Yes,NRSA 2324 Site Information,"Stream identified as an urban stream based on urban definition used in NRSA 2018-19 design. Urban based on 2010 Census polygons of urban areas. No 3km buffer to ensure census waters included since census polygons now include census waters. No missing or \blank\"" values allowed.""",2023–2024 only,Not comparable across cycles
Site Information,US_L3CODE,Yes,NRSA 1314 Site Information,Omernik Level III ecoregion code,Yes,NRSA 1819 Site Information,"Omernik Level III ecoregion code | Omernik Level III ecoregion code. Coded as \0\"" if ecoregions have not been defined for state or territory. No missing or \""blank\"" values allowed.""",Yes,NRSA 2324 Site Information,Omernik Level III ecoregion code,All three cycles,Same/equivalent EPA label across available cycles
Site Information,US_L3NAME,Yes,NRSA 1314 Site Information,Omernik Level III ecoregion name,Yes,NRSA 1819 Site Information,"Omernik Level III ecoregion name | Omernik Level III ecoregion name. \None\"" if no ecoregion defined for state or territory. No missing or \""blank\"" values allowed.""",Yes,NRSA 2324 Site Information,Omernik Level III ecoregion name,All three cycles,Same/equivalent EPA label across available cycles
Site Information,US_L4CODE,Yes,NRSA 1314 Site Information,Omernik Level IV ecoregion code,Yes,NRSA 1819 Site Information,"Omernik Level IV ecoregion code | Omernik Level IV ecoregion code. Level three codes plus aphabetic ending identifying level 4 subregion. \None\"" if no ecoregion defined for state or territory. No missing or \""blank\"" values allowed.""",Yes,NRSA 2324 Site Information,Omernik Level IV ecoregion code,All three cycles,Same/equivalent EPA label across available cycles
Site Information,US_L4NAME,Yes,NRSA 1314 Site Information,Omernik Level IV ecoregion name,Yes,NRSA 1819 Site Information,"Omernik Level IV ecoregion name | Omernik Level IV ecoregion name. \None\"" if no ecoregion defined for state or territory. No missing or \""blank\"" values allowed.""",Yes,NRSA 2324 Site Information,Omernik Level IV ecoregion name,All three cycles,Same/equivalent EPA label across available cycles
Site Information,USFS,No,,,Yes,NRSA 1819 Site Information,"US Forest Service land or other, based on OWN_NARS.",No,,,2018–2019 only,Not comparable across cycles
Site Information,VALXSITE,No,,,No,,,Yes,NRSA 2324 Site Information,Sample method/Nonsamp. reason,2023–2024 only,Not comparable across cycles
Site Information,VISIT_NO,Yes,NRSA 1314 Site Information,Number identifying which visit this is,Yes,NRSA 1819 Site Information,Number identifying which visit this is,Yes,NRSA 2324 Site Information,Number identifying which visit this is,All three cycles,Same/equivalent EPA label across available cycles
Site Information,WGT_CAT,No,,,Yes,NRSA 1819 Site Information,"NRSA categories used to adjust weights for site. Hand-picked sites assigned value of \NONE\"". No missing or \""blank\"" values allowed.""",No,,,2018–2019 only,Not comparable across cycles
Site Information,WGT_DSGN,No,,,Yes,NRSA 1819 Site Information,NRSA initial site weight assigned during site selection. >0 or 0 if site is not to be used for population estimation. DO NOT USE FOR POPULATION ESTIMATION!,No,,,2018–2019 only,Not comparable across cycles
Site Information,WGT_EXT_SP,Yes,NRSA 1314 Site Information,Length of sampled streams represented by site in km,No,,,No,,,2013–2014 only,Not comparable across cycles
Site Information,WGT_TP_CORE,No,,,Yes,NRSA 1819 Site Information,NRSA adjusted weight for site for population estimates of target population based on sampled probability sites. Weight units are stream miles. Value is 0 if site is not to be used for estimates.,No,,,2018–2019 only,Not comparable across cycles
Site Information,WGT_TP_EXTENT,No,,,Yes,NRSA 1819 Site Information,NRSA adjusted weight for site for extent estimates of target population based on all probability sites evaluated. Weight units are stream miles. Value is 0 if site is not to be used for estimates.,No,,,2018–2019 only,Not comparable across cycles
Site Information,WSAREASQKM,No,,,No,,,Yes,NRSA 2324 Site Information,Area in square kilometers of the watershed basin. Summarized by joining the sub-catchment area of the catchment with all of the upstream catchments of the NHDPlusV21.,2023–2024 only,Not comparable across cycles
Site Information,XCOORD,Yes,NRSA 1314 Site Information,x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection,Yes,NRSA 1819 Site Information,"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection | x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection. No missing or \blank\"" values allowed. Projection: clon = -96, clat = 37.5, sp1 = 29.5, sp2 = 45.5""",No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Site Information,YCOORD,Yes,NRSA 1314 Site Information,y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection,Yes,NRSA 1819 Site Information,"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection | y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection. No missing or \blank\"" values allowed. Projection: sph = \""GRS80\"", clon = -96, clat = 37.5, sp1 = 29.5, sp2 = 45.5""",No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Site Information,YEAR,No,,,Yes,NRSA 1819 Site Information,Year of sampling,Yes,NRSA 2324 Site Information,Year of sampling,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,AG_ECO9,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",No,,,2018–2019 only,Not comparable across cycles
Water Chemistry,AMMONIA_N_BATCH_ID,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Laboratory Batch ID for Ammonia as N,Yes,NRSA 2324 Water Chemistry,Laboratory Batch ID for Ammonia as N,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,AMMONIA_N_DATE_ANALYZED,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Date sample analyzed for analyte: ammonia,Yes,NRSA 2324 Water Chemistry,Date sample analyzed for analyte: ammonia,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,AMMONIA_N_DATE_FILTERED,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,AMMONIA_N_DATE_PROCESSED,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,AMMONIA_N_DATE_RECEIVED,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,AMMONIA_N_DILUTION_FACTOR,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Factor used to correct results based on dilution of sample by lab: Ammonia as N,Yes,NRSA 2324 Water Chemistry,Factor used to correct results based on dilution of sample by lab: Ammonia as N,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,AMMONIA_N_HOLDING_TIME,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Time from sampling to analysis (days): ammonia,Yes,NRSA 2324 Water Chemistry,Time from sampling to analysis (days): ammonia,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,AMMONIA_N_LAB_SAMPLE_ID,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,AMMONIA_N_MDL,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Method detection limit of ammonia,Yes,NRSA 2324 Water Chemistry,Method detection limit of ammonia,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,AMMONIA_N_NARS_FLAG,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Flag assigned by NARS: ammonia,Yes,NRSA 2324 Water Chemistry,"Flag assigned by NARS: ammonia. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,AMMONIA_N_QA_FLAG,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,QA flag assigned by lab: ammonia,Yes,NRSA 2324 Water Chemistry,QA flag assigned by lab: ammonia,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,AMMONIA_N_RESULT,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Analyte value: ammonia,Yes,NRSA 2324 Water Chemistry,Analyte value: ammonia,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,AMMONIA_N_RL,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Reporting limit of ammonia,Yes,NRSA 2324 Water Chemistry,Reporting limit of ammonia,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,AMMONIA_N_SAMPLE_ID,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,AMMONIA_N_SHIP_FLAG,Yes,NRSA 1314 Water Chemistry,Ammonia as N for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,AMMONIA_N_UNITS,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Units of measurement: ammonia,Yes,NRSA 2324 Water Chemistry,Units of measurement: ammonia,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,ANC,Yes,NRSA 1314 Water Chemistry Indicator Values,Acid Neutralizing Capacity - MG N/L,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,ANC_BATCH_ID,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Laboratory Batch ID for Acid Neutralizing Capacity,Yes,NRSA 2324 Water Chemistry,Laboratory Batch ID for Acid Neutralizing Capacity,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,ANC_DATE_ANALYZED,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Date sample analyzed for analyte: acid neutralizing capacity,Yes,NRSA 2324 Water Chemistry,Date sample analyzed for analyte: acid neutralizing capacity,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,ANC_DATE_FILTERED,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,ANC_DATE_PROCESSED,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,ANC_DATE_RECEIVED,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,ANC_HOLDING_TIME,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Time from sampling to analysis (days): acid neutralizing capacity,Yes,NRSA 2324 Water Chemistry,Time from sampling to analysis (days): acid neutralizing capacity,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,ANC_LAB_SAMPLE_ID,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,ANC_MDL,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Method Detection Limit: Acid Neutralizing Capacity,Yes,NRSA 2324 Water Chemistry,Method Detection Limit: Acid Neutralizing Capacity,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,ANC_NARS_FLAG,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,NARS flag translated from QA flag by lab: Acid Neutralizing Capacity,Yes,NRSA 2324 Water Chemistry,"NARS flag translated from QA flag by lab: Acid Neutralizing Capacity. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,ANC_QA_FLAG,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,QA flag assigned by lab: acid neutralizing capacity,Yes,NRSA 2324 Water Chemistry,QA flag assigned by lab: acid neutralizing capacity,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,ANC_RESULT,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Analyte value: acid neutralizing capacity,Yes,NRSA 2324 Water Chemistry,Analyte value: acid neutralizing capacity,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,ANC_RL,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Method Reporting Limit: Acid Neutralizing Capacity,Yes,NRSA 2324 Water Chemistry,Method Reporting Limit: Acid Neutralizing Capacity,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,ANC_SAMPLE_ID,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,ANC_SHIP_FLAG,Yes,NRSA 1314 Water Chemistry,Acid Neutralizing Capacity - UEQ/L for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,ANC_UNITS,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Units of measurement: acid neutralizing capacity,Yes,NRSA 2324 Water Chemistry,Units of measurement: acid neutralizing capacity,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CALCIUM_BATCH_ID,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Laboratory Batch ID for Calcium,Yes,NRSA 2324 Water Chemistry,Laboratory Batch ID for Calcium,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CALCIUM_DATE_ANALYZED,Yes,NRSA 1314 Water Chemistry,Calcium for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Date sample analyzed for analyte: calcium,Yes,NRSA 2324 Water Chemistry,Date sample analyzed for analyte: calcium,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,CALCIUM_DATE_FILTERED,Yes,NRSA 1314 Water Chemistry,Calcium for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,CALCIUM_DATE_PROCESSED,Yes,NRSA 1314 Water Chemistry,Calcium for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,CALCIUM_DATE_RECEIVED,Yes,NRSA 1314 Water Chemistry,Calcium for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,CALCIUM_DILUTION_FACTOR,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Factor used to correct results based on dilution of sample by lab: Calcium,Yes,NRSA 2324 Water Chemistry,Factor used to correct results based on dilution of sample by lab: Calcium,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CALCIUM_HOLDING_TIME,Yes,NRSA 1314 Water Chemistry,Calcium for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Time from sampling to analysis (days): calcium,Yes,NRSA 2324 Water Chemistry,Time from sampling to analysis (days): calcium,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,CALCIUM_LAB_SAMPLE_ID,Yes,NRSA 1314 Water Chemistry,Calcium for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,CALCIUM_MDL,Yes,NRSA 1314 Water Chemistry,Calcium for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Method detection limit of calcium,Yes,NRSA 2324 Water Chemistry,Method detection limit of calcium,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,CALCIUM_NARS_FLAG,Yes,NRSA 1314 Water Chemistry,Calcium for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,NARS flag translated from QA flag by lab: Calcium,Yes,NRSA 2324 Water Chemistry,"NARS flag translated from QA flag by lab: Calcium. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,CALCIUM_QA_FLAG,Yes,NRSA 1314 Water Chemistry,Calcium for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,QA flag assigned by lab: calcium,Yes,NRSA 2324 Water Chemistry,QA flag assigned by lab: calcium,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,CALCIUM_RESULT,Yes,NRSA 1314 Water Chemistry,Calcium for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Analyte value: calcium,Yes,NRSA 2324 Water Chemistry,Analyte value: calcium,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,CALCIUM_RL,Yes,NRSA 1314 Water Chemistry,Calcium for NA,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Method Reporting Limit: Calcium,Yes,NRSA 2324 Water Chemistry,Method Reporting Limit: Calcium,All three cycles,EPA label differs and/or is blank across cycles
Water Chemistry,CALCIUM_SAMPLE_ID,Yes,NRSA 1314 Water Chemistry,Calcium for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,CALCIUM_SHIP_FLAG,Yes,NRSA 1314 Water Chemistry,Calcium for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Water Chemistry,CALCIUM_UNITS,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Units of measurement: calcium,Yes,NRSA 2324 Water Chemistry,Units of measurement: calcium,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CHEM_DATE_RECEIVED,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Water chemistry date received in laboratory,Yes,NRSA 2324 Water Chemistry,Water chemistry date received in laboratory,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CHEM_LAB_SAMPLE_ID,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Water chemistry lab sample ID,Yes,NRSA 2324 Water Chemistry,Water chemistry lab sample ID,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CHEM_NOT_COLLECTED,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Water chemistry sample not collected,No,,,2018–2019 only,Not comparable across cycles
Water Chemistry,CHEM_SAMPLE_ID,No,,,No,,,Yes,NRSA 2324 Water Chemistry,Sample identification number: Water chemistry sample,2023–2024 only,Not comparable across cycles
Water Chemistry,CHLA_BATCH_ID,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Lab batch id - Chlorophyll-a as ug/L in water sample,Yes,NRSA 2324 Water Chemistry,Lab batch id - Chlorophyll-a as ug/L in water sample,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CHLA_DATE_ANALYZED,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Date sample analyzed for analyte: chlorophyll-a,Yes,NRSA 2324 Water Chemistry,Date sample analyzed for analyte: chlorophyll-a,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CHLA_DILUTION_FACTOR,No,,,No,,,Yes,NRSA 2324 Water Chemistry,Factor used to correct results based on dilution of sample by lab: Chlorophyll-a,2023–2024 only,Not comparable across cycles
Water Chemistry,CHLA_EXTRACT,No,,,No,,,Yes,NRSA 2324 Water Chemistry,chlorophyll-a amount in extract by volume (ug/L),2023–2024 only,Not comparable across cycles
Water Chemistry,CHLA_EXTRACT_UNITS,No,,,No,,,Yes,NRSA 2324 Water Chemistry,Chlorophyll a: Extract units,2023–2024 only,Not comparable across cycles
Water Chemistry,CHLA_HOLDING_TIME,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Time from sampling to analysis (days): chlorophyll-a,Yes,NRSA 2324 Water Chemistry,Time from sampling to analysis (days): chlorophyll-a,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CHLA_MDL,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,Method detection limit of chlorophyll-a,Yes,NRSA 2324 Water Chemistry,Method detection limit of chlorophyll-a,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Water Chemistry,CHLA_NARS_FLAG,No,,,Yes,NRSA 1819 Water Chemistry and Chlorophyll-a,NARS flag translated from QA flag by lab: Chlorophyll a,Yes,NRSA 2324 Water Chemistry,"NARS flag translated from QA flag by lab: Chlorophyll a. ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Water Chemistry,CHLA_QA_FLAG,No,,,No,,,Yes,NRSA 2324 Water Chemistry,QA flag assigned by lab: Chlorophyll a,2023–2024 only,Not comparable across cycles
