Metric ID	Discipline	Function	Function statement	Metric	Metric statement	Predefined SCS	Context	Method	How to measure	Good	Fair	Poor	References	Source	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Recommended Tiers	Original Description
water-and-soil-quality-contaminants-and-soil-pollution-indicators	Physicochemistry	Water & soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Contaminants & Soil Pollution Indicators	"""Screening metric used to evaluate Water & soil quality based on the definition and bin thresholds provided for this metric. No chemical/fecal contamination signs; soils appear natural, no suspicious odors/staining."""	No	Watershed and Channel; Floodplain	Desktop (listings/monitoring) and/or Field screening; Field	"""Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds. Inspect soils for odor or staining and review contaminated-site registries where relevant."""	Good: Natural soils with no contamination indicators. (Suggested index range 0.70-1.0)	Fair: Minor dumping or moderate manure presence. / Known moderate contamination risk. (Suggested index range 0.40-0.69)	Poor: Highly contaminated soils with strong odor or toxicity indicators. (Suggested index range 0.0-0.39)	Alaska SQT; EPA Cleanups in My Community; state contaminated-sites registries (where available).	Alaska SQT; ERDC	"""In-situ sampling or ADEC database Floodplain"""	Poor	Highly contaminated soils with strong odor or toxicity indicators.	0.0-0.39	Fair	Minor dumping or moderate manure presence. / Known moderate contamination risk.	0.40-0.69	Good	Natural soils with no contamination indicators.	0.70-1.0	screening	"""Screening metric used to evaluate Water & soil quality based on the definition and bin thresholds provided for this metric. No chemical/fecal contamination signs; soils appear natural, no suspicious odors/staining."""
water-and-soil-quality-dissolved-oxygen-do	Physicochemistry	Water & soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Dissolved Oxygen (DO)	DO is high enough (>5-6 mg/L) for aquatic life, unless naturally lower in warm/boggy streams.	No	Floodplain	Desktop	Collect spot DO readings and compile minima from time series where available.	Good: >6 mg/L and no hypoxia. (Suggested index range 0.70-1.0)	Fair: 5-6 mg/L. Borderline. / 3-5 mg/L. Frequent stress. (Suggested index range 0.40-0.69)	Poor: <3 mg/L. High risk of acute impacts. (Suggested index range 0.0-0.39)	Field DO meter; USGS NWIS and/or EPA Water Quality Portal (DO where available).	ERDC	State agency datasets; existing datasets	Poor	<3 mg/L. High risk of acute impacts.	0.0-0.39	Fair	5-6 mg/L. Borderline. / 3-5 mg/L. Frequent stress.	0.40-0.69	Good	>6 mg/L and no hypoxia.	0.70-1.0	screening	DO is high enough (>5-6 mg/L) for aquatic life, unless naturally lower in warm/boggy streams.
water-and-soil-quality-regulatory-impairment-status-305b-303d-tmdl	Physicochemistry	Water & soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Regulatory Impairment Status (305b/303d/TMDL)	"""Regulatory assessment status for aquatic life/designated use support (e.g., 305(b)/303(d) categories, TMDL status) for the assessment unit containing the project reach. Screening metric used to evaluate Water & soil quality based on the definition and bin thresholds provided for this metric."""	Yes	Watershed and Channel	Desktop (listings/monitoring) and/or Field screening	"""Identify the assessment unit for the project reach and consult the state integrated report and/or EPA ATTAINS database for use-support and impairment listings. Assign the condition class using the bin thresholds for this metric. Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds."""	Good: In category 1, 2, or 3 or aquatic life uses not evaluated. (Suggested index range 0.70-1.0)	Fair: In Category 4 due to nonsupport of aquatic life uses and aquatic life impairment actively being mitigated. (Suggested index range 0.40-0.69)	Poor: In Category 5 due to nonsupport of aquatic life uses OR in Category 4 and aquatic life impairment not actively being mitigated. (Suggested index range 0.0-0.39)	EPA ATTAINS/state integrated report (if used); Alaska SQT; EPA ATTAINS/state integrated report (if used); CO SQT 2019; EPA ATTAINS/state integrated report (if used); NC SQT 2019; EPA ATTAINS/state integrated report (if used); MI SQT 2019; EPA ATTAINS/state integrated report (if used); MN SQT 2020; EPA ATTAINS/state integrated report (if used); SC SQT 2021; EPA ATTAINS/state integrated report (if used); TN SQT; WI SQT 2022; EPA ATTAINS/state integrated report (if used); WY SQT 2019	Alaska SQT; Colorado SQT; North Carolina SQT; Michigan SQT; Minnesota SQT; South Carolina SQT; Tennessee SQT; Wisconsin SQT; Wyoming SQT	"""ADEC database EPA ATTAINS; state integrated report tables/GIS; optional local water quality monitoring summaries. State/agency datasets, GIS/imagery, and field observations (as applicable)."""	Poor	In Category 5 due to nonsupport of aquatic life uses OR in Category 4 and aquatic life impairment not actively being mitigated.	0.0-0.39	Fair	In Category 4 due to nonsupport of aquatic life uses and aquatic life impairment actively being mitigated.	0.40-0.69	Good	In category 1, 2, or 3 or aquatic life uses not evaluated.	0.70-1.0	screening	"""Regulatory assessment status for aquatic life/designated use support (e.g., 305(b)/303(d) categories, TMDL status) for the assessment unit containing the project reach. Screening metric used to evaluate Water & soil quality based on the definition and bin thresholds provided for this metric."""
water-and-soil-quality-specific-conductance	Physicochemistry	Water & soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Specific Conductance	Specific conductance (often standardized to 25�C) as an indicator of dissolved solids and potential watershed disturbance (e.g., road salt, mining, wastewater).	No	Watershed and Channel	Desktop (listings/monitoring) and/or Field screening	Measure specific conductance using a calibrated handheld meter (and/or compile from existing monitoring databases). Compare to regional/reference thresholds and assign the condition class using the bin thresholds for this metric.	Good: Piedmont = <78; Blue Ridge = <41 (Suggested index range 0.70-1.0)	Fair: Piedmont = 78-229; Blue Ridge = 41-66 (Suggested index range 0.40-0.69)	Poor: Piedmont = >229; Blue Ridge = >66 (Suggested index range 0.0-0.39)	USGS NWIS/WQP (if used); NC SQT 2019	North Carolina SQT	Field conductivity meter; USGS NWIS and/or EPA Water Quality Portal (if used).	Poor	Piedmont = >229; Blue Ridge = >66	0.0-0.39	Fair	Piedmont = 78-229; Blue Ridge = 41-66	0.40-0.69	Good	Piedmont = <78; Blue Ridge = <41	0.70-1.0	screening	Specific conductance (often standardized to 25�C) as an indicator of dissolved solids and potential watershed disturbance (e.g., road salt, mining, wastewater).
water-and-soil-quality-turbidity-water-clarity	Physicochemistry	Water & soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Turbidity / Water Clarity	Appears acceptable, minimal turbidity matching local reference conditions.	No	Channel	Field	Measure turbidity using a tube or meter and compare to reference expectations. Supplement with available datasets where present.	Good: Mostly clear and consistent with reference. No obvious pollution. (Suggested index range 0.70-1.0)	Fair: Slight turbidity or discoloration. / Persistent cloudiness with habitat impacts. (Suggested index range 0.40-0.69)	Poor: Persistently muddy water or visible sheen indicating severe pollution. (Suggested index range 0.0-0.39)	Field turbidity tube or meter; EPA Water Quality Portal (turbidity/TSS where available); assessment listings (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Persistently muddy water or visible sheen indicating severe pollution.	0.0-0.39	Fair	Slight turbidity or discoloration. / Persistent cloudiness with habitat impacts.	0.40-0.69	Good	Mostly clear and consistent with reference. No obvious pollution.	0.70-1.0	screening	Appears acceptable, minimal turbidity matching local reference conditions.
habitat-provision-in-stream-habitat-complexity-and-cover	Biology	Habitat provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	In-stream Habitat Complexity & Cover	"""Multiple habitat types (riffles/pools/woody debris) exist if historically expected, not unnaturally uniform. Varied substrates (gravel, cobble, wood) provide multiple habitats, unless uniform is normal. Provides shelter unless historically minimal in certain ecoregions."""	Yes	Channel	Field	"""Count distinct habitat types (riffle, run, pool, cover) along the reach. Use imagery as a screening aid where needed. Count substrate classes and note presence of wood, leaf packs, and other cover types. Estimate percent of bank length with undercut or overhanging cover during a field visit."""	Good: Multiple habitat types well represented. (Suggested index range 0.70-1.0)	Fair: Some variety but key elements are missing. / Mostly uniform with only 1-2 distinct features. (Suggested index range 0.40-0.69)	Poor: Very uniform channel with limited structural diversity. (Suggested index range 0.0-0.39)	EPA Rapid Bioassessment Protocols (RBP); NAIP imagery; USGS 3DEP LiDAR (where available).; USGS NAWQA pebble-count method; habitat mapping; supporting context from imagery and slope.; Field mapping; NAIP imagery; canopy and bank metrics where available.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Very uniform channel with limited structural diversity.	0.0-0.39	Fair	Some variety but key elements are missing. / Mostly uniform with only 1-2 distinct features.	0.40-0.69	Good	Multiple habitat types well represented.	0.70-1.0	screening	"""Multiple habitat types (riffles/pools/woody debris) exist if historically expected, not unnaturally uniform. Varied substrates (gravel, cobble, wood) provide multiple habitats, unless uniform is normal. Provides shelter unless historically minimal in certain ecoregions."""
habitat-provision-off-channel-habitat-availability	Biology	Habitat provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Off-channel Habitat Availability	Backwater areas are accessible as nursery/refuge if historically present, unless naturally confined.	No	Floodplain	Field	Map connected backwaters and side channels and verify likely connection thresholds.	Good: Well connected off-channel areas provide refuge or spawning habitat. (Suggested index range 0.70-1.0)	Fair: Some partial connection. / Rare or only episodic off-channel use. (Suggested index range 0.40-0.69)	Poor: No side or backwaters remain despite suitable valley setting. (Suggested index range 0.0-0.39)	USGS 3DEP LiDAR; NAIP imagery; FEMA floodplain layers (where available); NHDPlus HR waterbodies/flowlines.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	No side or backwaters remain despite suitable valley setting.	0.0-0.39	Fair	Some partial connection. / Rare or only episodic off-channel use.	0.40-0.69	Good	Well connected off-channel areas provide refuge or spawning habitat.	0.70-1.0	screening	Backwater areas are accessible as nursery/refuge if historically present, unless naturally confined.
population-support-biological-integrity-ibi-community-condition	Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Biological Integrity (IBI / community condition)	"""Healthy numbers if historically supported, unless ephemeral dryness naturally excludes them. IBI/multi-metric shows high integrity if historically expected, unless ephemeral dryness limits it. Diverse macroinvertebrates (incl. EPT) if historically expected, unless ephemeral dryness limits."""	Yes	Channel	Field; Field screening and/or Desktop (biomonitoring databases); Desktop	"""Conduct a brief visual or dipnet survey and record presence where expected. Standard IBI score from sampling Compile the most recent macroinvertebrate or fish IBI score or class from state or local databases for the reach or nearest station."""	Good: Multiple observations where historically expected. (Suggested index range 0.70-1.0)	Fair: Some presence but limited. / Rare or single individuals. (Suggested index range 0.40-0.69)	Poor: Absent where historically expected. (Suggested index range 0.0-0.39)	State Natural Heritage Program records; Herp Atlas or similar; BISON and/or iNaturalist as supporting context.; State biomonitoring protocols; USGS BioData and/or EPA Water Quality Portal biological results (where available).; CO SQT 2019; MI SQT 2019; MN SQT 2020; NC SQT 2019; WI SQT 2022; WY SQT 2019; state biomonitoring databases.	ERDC	State agency datasets, brief field recon	Poor	Absent where historically expected.	0.0-0.39	Fair	Some presence but limited. / Rare or single individuals.	0.40-0.69	Good	Multiple observations where historically expected.	0.70-1.0	screening	"""Healthy numbers if historically supported, unless ephemeral dryness naturally excludes them. IBI/multi-metric shows high integrity if historically expected, unless ephemeral dryness limits it. Diverse macroinvertebrates (incl. EPT) if historically expected, unless ephemeral dryness limits."""
population-support-catchment-restoration-enhancement-context	Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Catchment Restoration/Enhancement Context	Screening metric used to evaluate Population support based on the definition and bin thresholds provided for this metric.	No	Channel	Field screening and/or Desktop (biomonitoring databases)	Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.	Good: Greater than 60% of the total catchment area is draining to the project reach. (Suggested index range 0.70-1.0)	Fair: 40 to 60% of the total catchment area is draining to the project reach. (Suggested index range 0.40-0.69)	Poor: Less than 40% of the total catchment area is draining to the project reach. (Suggested index range 0.0-0.39)	NC SQT 2019	North Carolina SQT	State/agency datasets, GIS/imagery, and field observations (as applicable).	Poor	Less than 40% of the total catchment area is draining to the project reach.	0.0-0.39	Fair	40 to 60% of the total catchment area is draining to the project reach.	0.40-0.69	Good	Greater than 60% of the total catchment area is draining to the project reach.	0.70-1.0	screening	Screening metric used to evaluate Population support based on the definition and bin thresholds provided for this metric.
population-support-juvenile-refuge-cover	Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Juvenile Refuge / Cover	Sufficient cover (wood, undercuts, veg) for recruitment/survival if historically expected.	No	Channel	Field	Estimate percent of reach with shallow, low-velocity cover usable as juvenile refuge.	Good: More than 40% of reach has adequate juvenile cover. (Suggested index range 0.70-1.0)	Fair: 5-40% cover. (Suggested index range 0.40-0.69)	Poor: <5% cover or none. (Suggested index range 0.0-0.39)	Field mapping; hydrograph context (USGS NWIS where available); NAIP imagery as supporting context.	ERDC	High resolution aerial imagery; Field photos; Brief field recon;	Poor	<5% cover or none.	0.0-0.39	Fair	5-40% cover.	0.40-0.69	Good	More than 40% of reach has adequate juvenile cover.	0.70-1.0	screening	Sufficient cover (wood, undercuts, veg) for recruitment/survival if historically expected.
population-support-spawning-substrate-quality	Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Spawning Substrate Quality	Clean gravel/vegetation is present if historically expected, unless alternative spawning is normal.	No	Floodplain	Desktop	Assess percent of clean gravel or other suitable spawning substrate for target species and note fine sediment cover.	Good: Clean or appropriate substrate with minimal silt. (Suggested index range 0.70-1.0)	Fair: Some silt but still feasible for spawning. / Heavily silted with limited spawning success expected. (Suggested index range 0.40-0.69)	Poor: No suitable substrate. High embeddedness, bedrock, or other limiting condition. (Suggested index range 0.0-0.39)	Field substrate assessment; EPA Water Quality Portal (turbidity/TSS where available); geology and slope context.	ERDC	High resolution aerial imagery; Field photos; Brief field recon;	Poor	No suitable substrate. High embeddedness, bedrock, or other limiting condition.	0.0-0.39	Fair	Some silt but still feasible for spawning. / Heavily silted with limited spawning success expected.	0.40-0.69	Good	Clean or appropriate substrate with minimal silt.	0.70-1.0	screening	Clean gravel/vegetation is present if historically expected, unless alternative spawning is normal.
community-dynamics-invasive-non-native-species-presence	Biology	Community dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Invasive / Non-native Species Presence	Invasives don't dominate if historically native-dominated, unless naturalized species cause minimal impact.	Yes	Channel	Field	Query available invasive species databases and summarize presence within the watershed or reach. Confirm key species during a field visit where feasible.	Good: <5% invasive presence. (Suggested index range 0.70-1.0)	Fair: 5-50% invasive presence. (Suggested index range 0.40-0.69)	Poor: >50% invasive presence or one invasive dominates. (Suggested index range 0.0-0.39)	USGS Nonindigenous Aquatic Species (NAS); EDDMapS; state invasive species lists.	ERDC	Channel	Poor	>50% invasive presence or one invasive dominates.	0.0-0.39	Fair	5-50% invasive presence.	0.40-0.69	Good	<5% invasive presence.	0.70-1.0	screening	Invasives don't dominate if historically native-dominated, unless naturalized species cause minimal impact.
community-dynamics-native-biodiversity-and-taxa-richness	Biology	Community dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Native Biodiversity & Taxa Richness	"""Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow. Quick sample shows multiple families (incl. EPT) unless dryness/high-altitude limits diversity. Most historically native fish/inverts remain, unless naturally low-diversity (headwaters, ephemeral)."""	No	Channel and Watershed; Channel	Field screening and/or Desktop (databases); Field	"""Inventory potential barriers (culverts, dams, grade controls) within the specified upstream/downstream distance using barrier datasets and imagery; confirm passability where feasible. Assign the condition class using the bin thresholds for this metric. Compute major group richness from a kick-net sample or use existing biological records where available. Compare observed fish and invertebrate lists to available historical records or reference expectations."""	Good: Four to five or more distinct major groups. (Suggested index range 0.70-1.0)	Fair: Two to four distinct major groups. / One to two distinct major groups. (Suggested index range 0.40-0.69)	Poor: Zero, or only one extremely tolerant group. (Suggested index range 0.0-0.39)	Barrier inventory (if used); MN SQT 2020; USGS BioData and/or state biomonitoring datasets; EPA Water Quality Portal biological results (where available).; NatureServe Explorer; state Natural Heritage Program lists and records.	Minnesota SQT; ERDC	"""Barrier inventories (state/federal/NGO), NHD/NHDPlus hydrography, recent imagery, and field verification where feasible. """	Poor	Zero, or only one extremely tolerant group.	0.0-0.39	Fair	Two to four distinct major groups. / One to two distinct major groups.	0.40-0.69	Good	Four to five or more distinct major groups.	0.70-1.0	screening	"""Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow. Quick sample shows multiple families (incl. EPT) unless dryness/high-altitude limits diversity. Most historically native fish/inverts remain, unless naturally low-diversity (headwaters, ephemeral)."""
watershed-connectivity-adjacent-reach-condition-for-recruitment-hardened-embedded	Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Adjacent Reach Condition for Recruitment (hardened/embedded)	Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow.	No	Channel and Watershed	Desktop (barrier inventory/imagery) with field verification where feasible	Inventory potential barriers (culverts, dams, grade controls) within the specified upstream/downstream distance using barrier datasets and imagery; confirm passability where feasible. Assign the condition class using the bin thresholds for this metric.	Good: Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) has native bed and bank material. (Suggested index range 0.70-1.0)	Fair: Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) has native bed and bank material that is highly embedded by fine sediment. (Suggested index range 0.40-0.69)	Poor: Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) is concrete, piped, or hardened. (Suggested index range 0.0-0.39)	Barrier inventory (if used); Alaska SQT; Barrier inventory (if used); CO SQT 2019; Barrier inventory (if used); MI SQT 2019; NC SQT 2019; Barrier inventory (if used); SC SQT 2021; Barrier inventory (if used); WI SQT 2022; Barrier inventory (if used); WY SQT 2019; Barrier inventory (if used); TN SQT	Alaska SQT; Colorado SQT; Michigan SQT; North Carolina SQT; South Carolina SQT; Wisconsin SQT; Wyoming SQT; Tennessee SQT	"""Imagery & Site data Barrier inventories (state/federal/NGO), NHD/NHDPlus hydrography, recent imagery, and field verification where feasible."""	Poor	Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) is concrete, piped, or hardened.	0.0-0.39	Fair	Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) has native bed and bank material that is highly embedded by fine sediment.	0.40-0.69	Good	Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) has native bed and bank material.	0.70-1.0	screening	Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow.
watershed-connectivity-dewatered-intermittent-segments	Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Dewatered / Intermittent Segments	No artificial dryness in a historically perennial system, unless ephemeral dryness is normal.	No	Channel	Desktop	Combine multi-date imagery and available flow records to identify dry segments and summarize frequency and extent.	Good: No artificial dryness and natural connectivity is maintained. (Suggested index range 0.70-1.0)	Fair: Minor dryness in small segments. / Notable dryness or disconnection in key reaches. (Suggested index range 0.40-0.69)	Poor: Chronic or large-scale dewatering causing major fragmentation. (Suggested index range 0.0-0.39)	USGS NWIS zero-flow days (where available); NAIP and Google Earth imagery time series; NHDPlus flow regime codes.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Chronic or large-scale dewatering causing major fragmentation.	0.0-0.39	Fair	Minor dryness in small segments. / Notable dryness or disconnection in key reaches.	0.40-0.69	Good	No artificial dryness and natural connectivity is maintained.	0.70-1.0	screening	No artificial dryness in a historically perennial system, unless ephemeral dryness is normal.
watershed-connectivity-fish-passage-and-barrier-effects-longitudinal-connectivity	Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Fish Passage & Barrier Effects (longitudinal connectivity)	"""Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow. Presence and proximity of impoundments (dams/ponds/reservoirs) that can alter flow regime, sediment transport, temperature, and aquatic connectivity."""	Yes	Channel and Watershed	Desktop (barrier inventory/imagery) with field verification where feasible	"""Inventory potential barriers (culverts, dams, grade controls) within the specified upstream/downstream distance using barrier datasets and imagery; confirm passability where feasible. Assign the condition class using the bin thresholds for this metric. Inventory impoundments upstream (and where specified, downstream) of the project reach using dam/impoundment datasets and imagery. Summarize proximity and/or density per the metric definition. Assign the condition class using the bin thresholds for this metric."""	Good: No barrier within watershed OR barriers provide beneficial effect on project area and allows for aquatic organism passage. (Suggested index range 0.70-1.0)	Fair: Barrier exists but does not adversely affect aquatic organism passage OR a small blockage exists that is creating a minor fish passage barrier. (Suggested index range 0.40-0.69)	Poor: Aquatic organism barriers (including impoundment(s)) located within 1 mile upstream or downstream of project area has a negative effect on aquatic organism passage. (Suggested index range 0.0-0.39)	Barrier inventory (if used); WI SQT 2022; Barrier inventory (if used); TN SQT; Barrier inventory (if used); Alaska SQT; Barrier inventory (if used); CO SQT 2019; Barrier inventory (if used); WY SQT 2019; National Inventory of Dams (if used); MI SQT 2019; National Inventory of Dams (if used); SC SQT 2021; Barrier inventory (if used); MN SQT 2020; National Inventory of Dams (if used); NC SQT 2019	Wisconsin SQT; Tennessee SQT; Alaska SQT; Colorado SQT; Wyoming SQT; Michigan SQT; South Carolina SQT; Minnesota SQT; North Carolina SQT	"""Barrier inventories (state/federal/NGO), NHD/NHDPlus hydrography, recent imagery, and field verification where feasible. ADF&G Web Mapper & Imagery National Inventory of Dams (NID) and/or state dam databases; NHD/NHDPlus waterbodies/flowlines; recent imagery."""	Poor	Aquatic organism barriers (including impoundment(s)) located within 1 mile upstream or downstream of project area has a negative effect on aquatic organism passage.	0.0-0.39	Fair	Barrier exists but does not adversely affect aquatic organism passage OR a small blockage exists that is creating a minor fish passage barrier.	0.40-0.69	Good	No barrier within watershed OR barriers provide beneficial effect on project area and allows for aquatic organism passage.	0.70-1.0	screening	"""Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow. Presence and proximity of impoundments (dams/ponds/reservoirs) that can alter flow regime, sediment transport, temperature, and aquatic connectivity."""
watershed-connectivity-lateral-connectivity-for-riparian-fauna	Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Lateral Connectivity for Riparian Fauna	Floodplain/wetlands accessible for semiaquatic fauna unless steep canyons preclude it.	No	Floodplain	Desktop	Map levees or berms along the corridor and summarize continuous barrier length. Confirm passable gaps where present.	Good: No major levees or walls and free lateral movement. (Suggested index range 0.70-1.0)	Fair: Some partial barriers with remaining access. / Large levees hamper movement in many areas. (Suggested index range 0.40-0.69)	Poor: Heavily walled or leveed corridor with minimal lateral connectivity. (Suggested index range 0.0-0.39)	National Levee Database (NLD); FEMA floodplain layers (where available); USGS 3DEP LiDAR; local levee GIS (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Heavily walled or leveed corridor with minimal lateral connectivity.	0.0-0.39	Fair	Some partial barriers with remaining access. / Large levees hamper movement in many areas.	0.40-0.69	Good	No major levees or walls and free lateral movement.	0.70-1.0	screening	Floodplain/wetlands accessible for semiaquatic fauna unless steep canyons preclude it.
