Metric Name	Mapped Function	Source	Stream Condition Screening (SCS) Has it On 	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Discipline	Recommended Tiers	Metric Statement	Description	Method/Context	How To Measure	References
Off-channel Storage Features	Surface water storage	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Off-channel features are mostly gone or permanently cut off.	0-0.29	Fair	Partial connection or fewer off-channel areas. / Only large floods access these areas, or off-channel areas are minimal.	0.40-0.69	Good	Multiple off-channel features connect in moderate floods.	0.70-1.0	Hydrology	screening	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Side channels/beaver ponds/oxbows connect during moderate floods, providing off-channel storage and habitat.	"Context: Floodplain

Method: Field"	Map side channels and oxbows and verify whether they connect at about bankfull stage. Use simple inundation mapping if needed.	LiDAR/DEM and aerial imagery; optional HEC-RAS 2D bankfull inundation (screening).
Turbidity / Water Clarity	Water & soil quality	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Persistently muddy water or visible sheen indicating severe pollution.	0-0.29	Fair	Slight turbidity or discoloration. / Persistent cloudiness with habitat impacts.	0.40-0.69	Good	Mostly clear and consistent with reference. No obvious pollution.	0.70-1.0	Physicochemistry	screening	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Appears acceptable, minimal turbidity matching local reference conditions.	"Context: Channel

Method: Field"	Measure turbidity using a tube or meter and compare to reference expectations. Supplement with available datasets where present.	Field turbidity tube or meter; EPA Water Quality Portal (turbidity/TSS where available); assessment listings (where available).
Contaminants & Soil Pollution Indicators	Water & soil quality	Alaska SQT; ERDC	No	"In-situ sampling or ADEC database
Floodplain"	Poor	Highly contaminated soils with strong odor or toxicity indicators.	0-0.29	Fair	Minor dumping or moderate manure presence. / Known moderate contamination risk.	0.40-0.69	Good	Natural soils with no contamination indicators.	0.70-1.0	Physicochemistry	screening	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	"Screening metric used to evaluate Water & soil quality based on the definition and bin thresholds provided for this metric.
No chemical/fecal contamination signs; soils appear natural, no suspicious odors/staining."	"Context: Watershed and Channel

Method: Desktop (listings/monitoring) and/or Field screening
Context: Floodplain

Method: Field"	"Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.
Inspect soils for odor or staining and review contaminated-site registries where relevant."	Alaska SQT; EPA Cleanups in My Community; state contaminated-sites registries (where available).
Dissolved Oxygen (DO)	Water & soil quality	ERDC	No	State agency datasets; existing datasets	Poor	<3 mg/L. High risk of acute impacts.	0-0.29	Fair	5-6 mg/L. Borderline. / 3-5 mg/L. Frequent stress.	0.40-0.69	Good	>6 mg/L and no hypoxia.	0.70-1.0	Physicochemistry	screening	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	DO is high enough (>5-6 mg/L) for aquatic life, unless naturally lower in warm/boggy streams.	"Context: Channel

Method: Field"	Collect spot DO readings and compile minima from time series where available.	Field DO meter; USGS NWIS and/or EPA Water Quality Portal (DO where available).
Regulatory Impairment Status (305b/303d/TMDL)	Water & soil quality	Alaska SQT; Colorado SQT; North Carolina SQT; Michigan SQT; Minnesota SQT; South Carolina SQT; Tennessee SQT; Wisconsin SQT; Wyoming SQT	Yes	"ADEC database
EPA ATTAINS; state integrated report tables/GIS; optional local water quality monitoring summaries.
State/agency datasets, GIS/imagery, and field observations (as applicable)."	Poor	In Category 5 due to nonsupport of aquatic life uses OR in Category 4 and aquatic life impairment not actively being mitigated.	0-0.29	Fair	In Category 4 due to nonsupport of aquatic life uses and aquatic life impairment actively being mitigated.	0.40-0.69	Good	In category 1, 2, or 3 or aquatic life uses not evaluated.	0.70-1.0	Physicochemistry	screening	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	"Regulatory assessment status for aquatic life/designated use support (e.g., 305(b)/303(d) categories, TMDL status) for the assessment unit containing the project reach.
Screening metric used to evaluate Water & soil quality based on the definition and bin thresholds provided for this metric."	"Context: Watershed and Channel

Method: Desktop (listings/monitoring) and/or Field screening"	"Identify the assessment unit for the project reach and consult the state integrated report and/or EPA ATTAINS database for use-support and impairment listings. Assign the condition class using the bin thresholds for this metric.
Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds."	EPA ATTAINS/state integrated report (if used); Alaska SQT; EPA ATTAINS/state integrated report (if used); CO SQT 2019; EPA ATTAINS/state integrated report (if used); NC SQT 2019; EPA ATTAINS/state integrated report (if used); MI SQT 2019; EPA ATTAINS/state integrated report (if used); MN SQT 2020; EPA ATTAINS/state integrated report (if used); SC SQT 2021; EPA ATTAINS/state integrated report (if used); TN SQT; WI SQT 2022; EPA ATTAINS/state integrated report (if used); WY SQT 2019
Specific Conductance	Water & soil quality	North Carolina SQT	No	Field conductivity meter; USGS NWIS and/or EPA Water Quality Portal (if used).	Poor	Piedmont = >229; Blue Ridge = >66	0-0.29	Fair	Piedmont = 78-229; Blue Ridge = 41-66	0.40-0.69	Good	Piedmont = <78; Blue Ridge = <41	0.70-1.0	Physicochemistry	screening	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Specific conductance (often standardized to 25°C) as an indicator of dissolved solids and potential watershed disturbance (e.g., road salt, mining, wastewater).	"Context: Watershed and Channel

Method: Desktop (listings/monitoring) and/or Field screening"	Measure specific conductance using a calibrated handheld meter (and/or compile from existing monitoring databases). Compare to regional/reference thresholds and assign the condition class using the bin thresholds for this metric.	USGS NWIS/WQP (if used); NC SQT 2019
Fish Passage & Barrier Effects (longitudinal connectivity)	Watershed connectivity	Wisconsin SQT; Tennessee SQT; Alaska SQT; Colorado SQT; Wyoming SQT; Michigan SQT; South Carolina SQT; Minnesota SQT; North Carolina SQT	Yes	"Barrier inventories (state/federal/NGO), NHD/NHDPlus hydrography, recent imagery, and field verification where feasible.
ADF&G Web Mapper & Imagery
National Inventory of Dams (NID) and/or state dam databases; NHD/NHDPlus waterbodies/flowlines; recent imagery."	Poor	Aquatic organism barriers (including impoundment(s)) located within 1 mile upstream or downstream of project area has a negative effect on aquatic organism passage.	0-0.29	Fair	Barrier exists but does not adversely affect aquatic organism passage OR a small blockage exists that is creating a minor fish passage barrier.	0.40-0.69	Good	No barrier within watershed OR barriers provide beneficial effect on project area and allows for aquatic organism passage.	0.70-1.0	Biology	screening	Continuous pathways for movement of water, sediment, and organisms support recolonization, maintain species diversity, and enable recovery after disturbance.	"Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow.
Presence and proximity of impoundments (dams/ponds/reservoirs) that can alter flow regime, sediment transport, temperature, and aquatic connectivity."	"Context: Channel and Watershed

Method: Desktop (barrier inventory/imagery) with field verification where feasible"	"Inventory potential barriers (culverts, dams, grade controls) within the specified upstream/downstream distance using barrier datasets and imagery; confirm passability where feasible. Assign the condition class using the bin thresholds for this metric.
Inventory impoundments upstream (and where specified, downstream) of the project reach using dam/impoundment datasets and imagery. Summarize proximity and/or density per the metric definition. Assign the condition class using the bin thresholds for this metric."	Barrier inventory (if used); WI SQT 2022; Barrier inventory (if used); TN SQT; Barrier inventory (if used); Alaska SQT; Barrier inventory (if used); CO SQT 2019; Barrier inventory (if used); WY SQT 2019; National Inventory of Dams (if used); MI SQT 2019; National Inventory of Dams (if used); SC SQT 2021; Barrier inventory (if used); MN SQT 2020; National Inventory of Dams (if used); NC SQT 2019
Adjacent Reach Condition for Recruitment (hardened/embedded)	Watershed connectivity	Alaska SQT; Colorado SQT; Michigan SQT; North Carolina SQT; South Carolina SQT; Wisconsin SQT; Wyoming SQT; Tennessee SQT	No	"Imagery & 
Site data
Barrier inventories (state/federal/NGO), NHD/NHDPlus hydrography, recent imagery, and field verification where feasible."	Poor	Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) is concrete, piped, or hardened.	0-0.29	Fair	Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) has native bed and bank material that is highly embedded by fine sediment.	0.40-0.69	Good	Channel immediately upstream or downstream of project reach (i.e., within 1 km or 0.62 mi) has native bed and bank material.	0.70-1.0	Biology	screening	Continuous pathways for movement of water, sediment, and organisms support recolonization, maintain species diversity, and enable recovery after disturbance.	Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow.	"Context: Channel and Watershed

Method: Desktop (barrier inventory/imagery) with field verification where feasible"	Inventory potential barriers (culverts, dams, grade controls) within the specified upstream/downstream distance using barrier datasets and imagery; confirm passability where feasible. Assign the condition class using the bin thresholds for this metric.	Barrier inventory (if used); Alaska SQT; Barrier inventory (if used); CO SQT 2019; Barrier inventory (if used); MI SQT 2019; NC SQT 2019; Barrier inventory (if used); SC SQT 2021; Barrier inventory (if used); WI SQT 2022; Barrier inventory (if used); WY SQT 2019; Barrier inventory (if used); TN SQT
Dewatered / Intermittent Segments	Watershed connectivity	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Chronic or large-scale dewatering causing major fragmentation.	0-0.29	Fair	Minor dryness in small segments. / Notable dryness or disconnection in key reaches.	0.40-0.69	Good	No artificial dryness and natural connectivity is maintained.	0.70-1.0	Biology	screening	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	No artificial dryness in a historically perennial system, unless ephemeral dryness is normal.	"Context: Channel

Method: Desktop"	Combine multi-date imagery and available flow records to identify dry segments and summarize frequency and extent.	USGS NWIS zero-flow days (where available); NAIP and Google Earth imagery time series; NHDPlus flow regime codes.
Lateral Connectivity for Riparian Fauna	Watershed connectivity	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Heavily walled or leveed corridor with minimal lateral connectivity.	0-0.29	Fair	Some partial barriers with remaining access. / Large levees hamper movement in many areas.	0.40-0.69	Good	No major levees or walls and free lateral movement.	0.70-1.0	Biology	screening	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Floodplain/wetlands accessible for semiaquatic fauna unless steep canyons preclude it.	"Context: Floodplain

Method: Field"	Map levees or berms along the corridor and summarize continuous barrier length. Confirm passable gaps where present.	National Levee Database (NLD); FEMA floodplain layers (where available); USGS 3DEP LiDAR; local levee GIS (where available).
